iter	Passed	Remaining
0	181	180957
1	183	91354
2	184	61435
3	186	46465
4	188	37480
5	190	31481
6	191	27192
7	193	23984
8	195	21553
9	197	19548
10	199	17905
11	200	16537
12	202	15374
13	204	14381
14	205	13518
15	208	12849
16	210	12186
17	212	11612
18	215	11118
19	217	10639
20	219	10211
21	220	9821
22	226	9635
23	228	9311
24	230	8991
25	232	8701
26	233	8431
27	235	8191
28	237	7959
29	239	7742
30	242	7565
31	243	7370
32	245	7195
33	247	7025
34	249	6868
35	251	6730
36	253	6589
37	257	6509
38	259	6383
39	260	6260
40	264	6184
41	266	6081
42	268	5973
43	270	5870
44	272	5777
45	274	5683
46	275	5591
47	277	5505
48	279	5426
49	281	5345
50	283	5266
51	284	5189
52	286	5127
53	288	5056
54	290	4988
55	292	4931
56	295	4893
57	306	4984
58	309	4929
59	310	4867
60	313	4820
61	320	4846
62	321	4787
63	323	4729
64	327	4704
65	328	4648
66	329	4592
67	331	4538
68	332	4490
69	334	4441
70	335	4391
71	337	4350
72	339	4306
73	340	4263
74	342	4219
75	343	4177
76	344	4135
77	346	4092
78	347	4055
79	349	4016
80	350	3979
81	352	3943
82	352	3898
83	354	3863
84	355	3828
85	357	3796
86	358	3762
87	360	3731
88	361	3700
89	363	3673
90	364	3643
91	366	3618
92	369	3604
93	371	3580
94	373	3556
95	375	3534
96	376	3509
97	379	3489
98	381	3473
99	383	3451
100	385	3428
101	387	3409
102	417	3637
103	421	3633
104	424	3617
105	428	3609
106	429	3587
107	433	3577
108	445	3639
109	447	3620
110	449	3602
111	451	3579
112	452	3555
113	454	3531
114	455	3507
115	460	3512
116	476	3594
117	483	3614
118	485	3594
119	487	3572
120	496	3607
121	498	3584
122	499	3563
123	501	3543
124	503	3523
125	505	3505
126	510	3508
127	512	3491
128	514	3475
129	516	3459
130	518	3440
131	525	3455
132	527	3437
133	528	3418
134	530	3400
135	532	3383
136	534	3366
137	538	3360
138	541	3351
139	542	3334
140	544	3316
141	545	3295
142	547	3279
143	548	3263
144	552	3258
145	556	3253
146	558	3238
147	559	3221
148	560	3203
149	562	3186
150	563	3169
151	564	3151
152	569	3150
153	571	3138
154	576	3141
155	580	3141
156	582	3127
157	584	3112
158	585	3098
159	587	3084
160	588	3066
161	590	3052
162	591	3038
163	597	3045
164	599	3031
165	600	3018
166	605	3019
167	614	3043
168	617	3034
169	618	3022
170	620	3009
171	634	3055
172	637	3045
173	639	3035
174	643	3032
175	645	3022
176	647	3012
177	651	3006
178	652	2993
179	659	3004
180	661	2995
181	663	2982
182	664	2968
183	666	2955
184	668	2943
185	674	2951
186	677	2944
187	678	2931
188	680	2919
189	681	2906
190	683	2894
191	684	2881
192	687	2875
193	689	2863
194	690	2851
195	692	2839
196	693	2827
197	695	2816
198	702	2827
199	705	2821
200	707	2810
201	708	2799
202	710	2788
203	718	2802
204	720	2794
205	722	2783
206	723	2772
207	725	2762
208	729	2760
209	731	2752
210	733	2741
211	734	2731
212	736	2720
213	737	2710
214	739	2700
215	741	2689
216	743	2682
217	744	2672
218	746	2662
219	748	2652
220	749	2642
221	751	2632
222	752	2622
223	754	2613
224	755	2603
225	758	2597
226	760	2588
227	761	2578
228	763	2569
229	764	2560
230	766	2550
231	767	2542
232	769	2533
233	771	2524
234	773	2516
235	774	2507
236	776	2498
237	777	2490
238	779	2481
