iter	Passed	Remaining
0	176	176666
1	181	90797
2	183	60949
3	184	46016
4	186	37029
5	187	31028
6	188	26740
7	189	23529
8	191	21078
9	192	19073
10	197	17760
11	199	16408
12	200	15251
13	202	14266
14	204	13408
15	205	12651
16	207	11982
17	211	11565
18	213	11016
19	214	10519
20	216	10073
21	218	9731
22	220	9352
23	221	9002
24	222	8685
25	224	8428
26	227	8188
27	228	7944
28	230	7716
29	232	7518
30	233	7307
31	234	7107
32	239	7026
33	241	6848
34	242	6679
35	244	6546
36	245	6395
37	246	6252
38	248	6115
39	249	5985
40	252	5894
41	253	5781
42	254	5668
43	256	5564
44	257	5460
45	258	5361
46	259	5266
47	260	5175
48	262	5088
49	263	5004
50	268	5005
51	270	4933
52	271	4859
53	273	4785
54	274	4714
55	275	4646
56	276	4581
57	278	4517
58	282	4511
59	285	4471
60	286	4417
61	288	4372
62	290	4316
63	291	4262
64	292	4210
65	294	4161
66	299	4165
67	300	4116
68	301	4069
69	302	4022
70	304	3977
71	305	3936
72	306	3893
73	307	3853
74	309	3812
75	314	3819
76	315	3781
77	316	3743
78	317	3706
79	319	3672
80	320	3636
81	321	3601
82	322	3561
83	323	3527
84	329	3545
85	330	3513
86	331	3482
87	333	3452
88	334	3422
89	335	3392
90	336	3363
91	338	3336
92	341	3334
93	344	3319
94	345	3293
95	347	3267
96	348	3241
97	349	3216
98	350	3191
99	351	3166
100	353	3144
101	357	3148
102	359	3127
103	360	3107
104	362	3088
105	365	3082
106	366	3062
107	368	3041
108	374	3062
109	376	3046
110	378	3027
111	380	3014
112	381	2998
113	383	2979
114	387	2981
115	389	2970
116	390	2949
117	392	2931
118	393	2916
119	395	2898
120	396	2883
121	406	2924
122	408	2912
123	409	2896
124	411	2881
125	413	2865
126	414	2846
127	415	2833
128	417	2817
129	418	2803
130	420	2787
131	421	2772
132	423	2757
133	424	2742
134	425	2728
135	430	2736
136	432	2721
137	433	2708
138	435	2694
139	436	2682
140	438	2668
141	438	2652
142	440	2637
143	444	2642
144	446	2630
145	447	2616
146	448	2603
147	449	2590
148	451	2579
149	453	2568
150	454	2555
151	455	2542
152	461	2555
153	463	2544
154	464	2533
155	467	2528
156	469	2523
157	474	2528
158	486	2571
159	491	2578
160	492	2564
161	493	2553
162	496	2547
163	498	2538
164	501	2539
165	504	2534
166	506	2526
167	508	2517
168	509	2507
169	511	2497
170	518	2511
171	519	2502
172	522	2497
173	524	2489
174	525	2479
175	530	2484
176	534	2484
177	537	2484
178	539	2474
179	541	2465
180	545	2469
181	552	2482
182	558	2493
183	562	2494
184	565	2493
185	567	2484
186	573	2492
187	588	2542
188	599	2573
189	602	2567
190	603	2557
191	610	2569
192	612	2560
193	614	2552
194	616	2545
195	618	2535
196	619	2526
197	622	2520
198	625	2517
199	628	2514
200	630	2506
201	641	2535
202	644	2530
203	645	2519
204	652	2529
205	654	2524
206	657	2518
207	658	2508
208	660	2498
209	666	2505
210	667	2497
211	670	2491
212	673	2486
213	674	2477
214	676	2470
215	689	2501
216	692	2497
217	698	2504
218	700	2498
219	703	2495
220	706	2488
221	715	2505
222	716	2497
223	718	2488
224	719	2479
225	721	2471
226	723	2462
227	728	2467
228	730	2459
229	732	2451
230	733	2442
231	734	2432
232	736	2422
233	737	2413
234	741	2414
235	743	2406
236	744	2396
237	745	2388
238	747	2379
239	748	2370
240	749	2361
241	751	2352
242	752	2344
243	757	2345
244	759	2339
245	760	2330
246	762	2323
247	765	2322
248	767	2313
249	768	2305
250	770	2299
251	772	2292
252	773	2284
253	774	2276
254	776	2268
255	777	2260
256	779	2253
257	794	2284
258	802	2297
259	804	2289
260	806	2283
261	827	2331
262	835	2340
263	838	2337
264	841	2333
265	889	2454
266	892	2451
267	898	2453
268	899	2444
269	901	2436
270	935	2517
271	954	2555
272	957	2548
273	962	2550
274	965	2544
275	966	2535
276	968	2526
277	970	2519
278	972	2512
279	973	2503
280	975	2495
281	977	2488
282	979	2480
283	982	2476
284	986	2474
285	1007	2515
286	1009	2506
287	1026	2538
288	1035	2547
289	1040	2547
290	1044	2544
291	1046	2536
292	1054	2544
293	1057	2538
294	1058	2530
295	1060	2522
296	1071	2536
297	1073	2529
298	1075	2521
299	1086	2536
300	1090	2531
301	1093	2526
302	1099	2528
303	1110	2542
304	1112	2534
305	1115	2528
